Company,Ticker,Exchange,Yahoo,Closing Price
Alabama Aircraft Industr,AAII,NASDAQ,False,
Alabama Natl Bancorp,ALAB,NASDAQ,False,
Aladdin Knowledge Systems Ltd,ALDN,NASDAQ,False,
Alamo Group Inc,ALG,NYSE,True,183.55
Alamos Gold Inc New,AGI,NYSE,True,12.45
Alamosa Holdings,APCS,NASDAQ,False,
Alanco Technologies Inc.,ALAND,NASDAQ,False,
Alarm com Holdings Inc,ALRM,NASDAQ,True,51.1
Alaska Air Group Inc,ALK,NYSE,True,48.65
Alaska Communications Systems Group Inc,ALSK,NASDAQ,False,
Albany International Corp,AIN,NYSE,True,91.6
Albany Molecular Research,AMRI,NASDAQ,False,
Albemarle Corp,ALB,NYSE,True,219.62
Albemarle First Bank (Charlottesville,AFBK,NASDAQ,False,
Albemarle First Bank (Charlottesville,AFBKW,NASDAQ,False,
Alberton Acquisition Corporation,ALAC,NASDAQ,False,
Albertsons Companies Inc,ACI,NYSE,True,20.9
Albireo Pharma Inc,ALBO,NASDAQ,False,
Alcentra Capital Corporation,ABDC,NASDAQ,False,
Alco Stores,DUCK,NASDAQ,False,
Alcoa Corporation,AA,NYSE,True,35.58
Alcoa Corporation,AA,NYSE,True,35.58
Alcon Inc,ALC,NYSE,True,78.92
Aldel Financial Inc,ADF,NYSE,False,
Alder BioPharmaceuticals Inc,ALDR,NASDAQ,False,
Aldeyra Therapeutics Inc,ALDX,NASDAQ,True,11.89
Alector Inc,ALEC,NASDAQ,True,7.35
Alerus Financial Corporation,ALRS,NASDAQ,True,18.63
Alexander and Baldwin Holdings Inc,ALEX,NYSE,True,19.16
Alexanders Inc,ALX,NYSE,True,187.89
Alexandria Real Estate Equities Inc,ARE,NYSE,True,120.54
Alexco Resource Corp,AXU,AMEX,False,
Alexion Pharmaceuticals Inc,ALXN,NASDAQ,False,
ALFI Inc,ALF,NASDAQ,False,
Algoma Steel Group Inc,ASTL,NASDAQ,True,7.8
Algonquin Power,AQN,NYSE,True,8.69
Algonquin Power & Utilities Corp,AQNA,NYSE,True,24.32
Algonquin Power & Utilities Corp,AQNB,NYSE,True,24.15
Algonquin Power and Utilities Corporation,AQNU,NYSE,True,30.13
Alibaba Group Holding Limited,BABA,NYSE,True,86.14
Alico Inc,ALCO,NASDAQ,True,26.3
ALIGHT INC,ALIT,NASDAQ,True,8.99
Alight Inc,ALIT,NYSE,True,8.99
Align Technology Inc,ALGN,NASDAQ,True,306.76
Alignment Healthcare Inc,ALHC,NASDAQ,True,6.96
Aligos Therapeutics Inc,ALGS,NASDAQ,True,1.1
Alimera Sciences Inc,ALIM,NASDAQ,True,2.58
Alio Gold Inc,ALO,AMEX,False,
Alithya Group inc,ALYA,NASDAQ,True,1.93
ALJ Regional Holdings Inc,ALJJ,NASDAQ,True,1.92
Alkaline Water Company Inc,WTER,NASDAQ,True,1.75
Alkami Technology Inc,ALKT,NASDAQ,True,14.97
Alkermes Plc,ALKS,NASDAQ,True,31.54
Alkido Pharma Inc,AIKI,NASDAQ,False,
Alkuri Global Acquisition Corporation,KURI,NASDAQ,False,
Allakos Inc,ALLK,NASDAQ,True,4.85
Allarity Therapeutics Inc,ALLR,NASDAQ,True,0.1825
Allbirds Inc,BIRD,NASDAQ,True,1.37
Alleghany Corp,Y,NYSE,False,
Allegheny Technologies Inc,ATI,NYSE,True,39.5
Allegiance Bancshares Inc,ABTX,NASDAQ,False,
Allegiance Telecom,ALGX,NASDAQ,False,
Allegiant Travel Company,ALGT,NASDAQ,True,109.13
Allegion Plc,ALLE,NYSE,True,113.1
Allegro Merger Corporation,ALGR,NASDAQ,False,
Allegro MicroSystems Inc,ALGM,NASDAQ,True,39.5
Allena Pharmaceuticals Inc,ALNA,NASDAQ,False,
Allergan plc,AGN,NYSE,False,
Allete Inc,ALE,NYSE,True,61.96
Alliance Bancorp of Pennsylvania,ALLBD,NASDAQ,False,
Alliance Bankshares Corp.,ABVA,NASDAQ,False,
Alliance Data Systems,ADS,NYSE,False,
Alliance Fiber Optic Products,AFOP,NASDAQ,False,
Alliance Fiber Optic Products,AFOPD,NASDAQ,False,
Alliance Financial Corp.,ALNC,NASDAQ,False,
Alliance One International,AOI,NYSE,False,
AllianceBernstein Global High Income Fund Inc,AWF,NYSE,True,9.65
AllianceBernstein Holding LP,AB,NYSE,True,34.69
Alliancebernstein Income Fund,ACG,NYSE,False,
AllianceBernstein National Municipal Income Fund Inc,AFB,NYSE,True,10.55
Alliant Energy Corporation,LNT,NASDAQ,True,53.47
Allied Esports Entertainment Inc,AESE,NASDAQ,False,
Allied Healthcare International Inc.,AHCI,NASDAQ,False,
Allied Healthcare Products Inc,AHPI,NASDAQ,True,0.004
Allied Motion Technologies Inc,AMOT,NASDAQ,True,37.67
Allion Healthcare,ALLI,NASDAQ,False,
Alliqua Biomedical,ALQA,NASDAQ,False,
Allogene Therapeutics Inc,ALLO,NASDAQ,True,5.8
Allos Therapeutics,ALTH,NASDAQ,False,
Allot Ltd,ALLT,NASDAQ,True,3.165
AlloVir Inc,ALVR,NASDAQ,True,5.75
Alloy,ALOYD,NASDAQ,False,
Alloy,ALOY,NASDAQ,False,
Allscripts Healthcare Solutions Inc,MDRX,NASDAQ,True,11.88
Allscripts-Misys Healthcare Solutions,MDRXD,NASDAQ,False,
Allspring Global Dividend Opportunity Fund,EOD,NYSE,True,4.25
Allspring Income Opportunities Fund,EAD,AMEX,True,6.32
Allspring Multi Sector Income Fund,ERC,AMEX,True,8.91
Allspring Utilities and High Income Fund,ERH,AMEX,True,10.29
Allstate Corporation,ALL,NYSE,True,111.91
Allstream,ALLSA,NASDAQ,False,
Allstream,ALLSB,NASDAQ,False,
Allvue Systems Holdings Inc,ALVU,NYSE,False,
Ally Financial Inc,ALLY,NYSE,True,28.4
Almaden Minerals Ltd New,AAU,AMEX,True,0.126
Alnylam Pharmaceuticals Inc,ALNY,NASDAQ,True,190.43
Alpha and Omega Semiconductor Limited,AOSL,NASDAQ,True,29.51
Alpha Capital Acquisition Company,ASPC,NASDAQ,False,
Alpha Healthcare Acquisition Corporation,AHAC,NASDAQ,False,
Alpha Healthcare Acquisition Corporation III,ALPA,NASDAQ,True,10.26
Alpha Metallurgical Resources Inc,AMR,NYSE,True,148.45
Alpha Partners Technology Merger Corporation,APTM,NASDAQ,True,10.38
Alpha Pro Tech Ltd,APT,AMEX,True,3.91
Alpha Star Acquisition Corporation,ALSAU,NASDAQ,True,10.71
Alpha Teknova Inc,TKNO,NASDAQ,True,3.825
Alphabet Inc,GOOG,NASDAQ,True,122.67
Alphabet Inc,GOOGL,NASDAQ,True,122.14
Alphasmart,ALSM,NASDAQ,False,
Alphatec Holdings Inc,ATEC,NASDAQ,True,15.3
Alpine 4 Holdings Inc,ALPP,NASDAQ,True,2.5
Alpine Acquisition Corporation,REVE,NASDAQ,True,10.49
Alpine Immune Sciences Inc,ALPN,NASDAQ,True,10.37
Alpine Income Property Trust Inc,PINE,NYSE,True,16.29
Alset EHome International Inc,AEI,NASDAQ,True,1.72
ALSP Orchid Acquisition Corporation I,ALORU,NASDAQ,True,10.53
Alta Equipment Group Inc,ALTG,NYSE,True,15.46
Alta Mesa Resources Inc,AMR,NASDAQ,True,148.45
Altaba Inc,AABA,NASDAQ,False,
AltaBancorp,ALTA,NASDAQ,False,
